,chem1,chem2,chem3,chem4,chem5,chem6,chem7,chem8,chem9,chem10,chem11,chem12,chem13
chem1,1,0.08,0.25,-0.32,0.33,0.31,0.28,-0.15,0.15,0.55,-0.07,0.09,0.65
chem2,0.08,1,0.16,0.31,-0.03,-0.34,-0.43,0.29,-0.23,0.24,-0.56,-0.38,-0.2
chem3,0.25,0.16,1,0.38,0.29,0.09,0.03,0.18,-0.04,0.24,-0.07,-0.06,0.24
chem4,-0.32,0.31,0.38,1,-0.19,-0.41,-0.49,0.39,-0.27,0.01,-0.32,-0.37,-0.49
chem5,0.33,-0.03,0.29,-0.19,1,0.19,0.17,-0.26,0.16,0.25,0.01,0.03,0.41
chem6,0.31,-0.34,0.09,-0.41,0.19,1,0.87,-0.46,0.62,-0.05,0.43,0.69,0.51
chem7,0.28,-0.43,0.03,-0.49,0.17,0.87,1,-0.58,0.67,-0.19,0.57,0.78,0.52
chem8,-0.15,0.29,0.18,0.39,-0.26,-0.46,-0.58,1,-0.38,0.13,-0.25,-0.52,-0.31
chem9,0.15,-0.23,-0.04,-0.27,0.16,0.62,0.67,-0.38,1,-0.02,0.29,0.52,0.33
chem10,0.55,0.24,0.24,0.01,0.25,-0.05,-0.19,0.13,-0.02,1,-0.52,-0.45,0.32
chem11,-0.07,-0.56,-0.07,-0.32,0.01,0.43,0.57,-0.25,0.29,-0.52,1,0.57,0.23
chem12,0.09,-0.38,-0.06,-0.37,0.03,0.69,0.78,-0.52,0.52,-0.45,0.57,1,0.32
chem13,0.65,-0.2,0.24,-0.49,0.41,0.51,0.52,-0.31,0.33,0.32,0.23,0.32,1